id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level
1,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include sudden high fever, severe headache, pain behind the eyes, muscle and joint pain, nausea, vomiting, and fatigue.","Ibtidaai alamat me achanak tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon me dard, ulti, ghulati aur thakan shamil hain.",symptoms,WHO/CDC,general
2,Does dengue always start with fever?,Kya dengue hamesha bukhar se shuru hota hai?,"Yes, dengue typically starts with sudden high fever along with body pain and headache.","Haan, dengue aam tor par achanak tez bukhar ke sath shuru hota hai jisme jism dard aur sar dard shamil hota hai.",symptoms;fever,WHO,general
3,Is headache common in dengue?,Kya dengue me sar dard aam hai?,"Yes, intense headache—especially behind the eyes—is a common symptom.","Haan, shadeed sar dard khas tor par aankh ke peeche aam alamat hai.",symptoms,WHO,general
4,Why does dengue cause pain behind the eyes?,Dengue me aankh ke peeche dard kyu hota hai?,"The virus triggers inflammation that irritates the tissues behind the eyes, causing characteristic pain.",Virus soozish paida karta hai jo aankh ke peeche ke hisson ko mutasir kar ke dard paida karti hai.,symptoms;eye_pain,Clinical guidance,general
5,Can dengue cause back pain?,Kya dengue se kamar dard hota hai?,"Yes, muscle and joint pain—including back pain—are common because of inflammation.","Haan, pathon aur joron me dard, jis me kamar dard bhi shamil hai, soozish ki wajah se hota hai.",symptoms;body_pain,WHO,general
6,Why do joints hurt in dengue?,Dengue me jor kyu dard karte hain?,"Dengue triggers inflammation in muscles and joints, causing severe aches.",Dengue pathon aur joron me soozish paida karta hai jis se shadeed dard hota hai.,symptoms;joint_pain,WHO,general
7,Can dengue cause stomach pain?,Kya dengue me pait dard hota hai?,"Mild abdominal discomfort may occur early, but severe abdominal pain is a warning sign requiring urgent care.",Shuru me halka pait dard ho sakta hai lekin shadeed pait ka dard khatwarning alamat hai aur foran tawajjo chahiye.,symptoms;warning_signs,WHO,urgent-care
8,Is nausea normal in dengue?,Kya dengue me ulti ya ghulati aam hai?,"Yes, nausea and vomiting are common because dengue affects the digestive system.","Haan, ulti aur ghulati aam hain kyun ke dengue hazme ke nizaam ko mutasir karta hai.",symptoms;gastro,WHO,general
9,Does dengue always cause vomiting?,Kya dengue me hamesha ulti hoti hai?,"Not always, but many patients experience nausea or occasional vomiting.","Hamesha nahi, lekin bohat se mareez ghulati ya kabhi kabhi ulti mehsoos karte hain.",symptoms;gastro,WHO,general
10,Is rash common in dengue?,Kya dengue me rash aam hota hai?,"Yes, a skin rash often appears between days 2–5 of illness.","Haan, din 2–5 ke darmiyan jild par rash aksar zahir hota hai.",symptoms;skin,WHO,general
