id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,primary_tag,merged_label
1,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include sudden high fever, severe headache, pain behind the eyes, muscle and joint pain, nausea, vomiting, and fatigue.","Ibtidaai alamat me achanak tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon me dard, ulti, ghulati aur thakan shamil hain.",symptoms,WHO/CDC,general,symptoms,symptoms
2,Does dengue always start with fever?,Kya dengue hamesha bukhar se shuru hota hai?,"Yes, dengue typically starts with sudden high fever along with body pain and headache.","Haan, dengue aam tor par achanak tez bukhar ke sath shuru hota hai jisme jism dard aur sar dard shamil hota hai.",symptoms;fever,WHO,general,symptoms,symptoms
3,Is headache common in dengue?,Kya dengue me sar dard aam hai?,"Yes, intense headache—especially behind the eyes—is a common symptom.","Haan, shadeed sar dard khas tor par aankh ke peeche aam alamat hai.",symptoms,WHO,general,symptoms,symptoms
4,Why does dengue cause pain behind the eyes?,Dengue me aankh ke peeche dard kyu hota hai?,"The virus triggers inflammation that irritates the tissues behind the eyes, causing characteristic pain.",Virus soozish paida karta hai jo aankh ke peeche ke hisson ko mutasir kar ke dard paida karti hai.,symptoms;eye_pain,Clinical guidance,general,symptoms,symptoms
5,Can dengue cause back pain?,Kya dengue se kamar dard hota hai?,"Yes, muscle and joint pain—including back pain—are common because of inflammation.","Haan, pathon aur joron me dard, jis me kamar dard bhi shamil hai, soozish ki wajah se hota hai.",symptoms;body_pain,WHO,general,symptoms,symptoms
6,Why do joints hurt in dengue?,Dengue me jor kyu dard karte hain?,"Dengue triggers inflammation in muscles and joints, causing severe aches.",Dengue pathon aur joron me soozish paida karta hai jis se shadeed dard hota hai.,symptoms;joint_pain,WHO,general,symptoms,symptoms
7,Can dengue cause stomach pain?,Kya dengue me pait dard hota hai?,"Mild abdominal discomfort may occur early, but severe abdominal pain is a warning sign requiring urgent care.",Shuru me halka pait dard ho sakta hai lekin shadeed pait ka dard khatwarning alamat hai aur foran tawajjo chahiye.,symptoms;warning_signs,WHO,urgent-care,symptoms,symptoms
8,Is nausea normal in dengue?,Kya dengue me ulti ya ghulati aam hai?,"Yes, nausea and vomiting are common because dengue affects the digestive system.","Haan, ulti aur ghulati aam hain kyun ke dengue hazme ke nizaam ko mutasir karta hai.",symptoms;gastro,WHO,general,symptoms,symptoms
9,Does dengue always cause vomiting?,Kya dengue me hamesha ulti hoti hai?,"Not always, but many patients experience nausea or occasional vomiting.","Hamesha nahi, lekin bohat se mareez ghulati ya kabhi kabhi ulti mehsoos karte hain.",symptoms;gastro,WHO,general,symptoms,symptoms
10,Is rash common in dengue?,Kya dengue me rash aam hota hai?,"Yes, a skin rash often appears between days 2–5 of illness.","Haan, din 2–5 ke darmiyan jild par rash aksar zahir hota hai.",symptoms;skin,WHO,general,symptoms,symptoms
11,What does dengue rash look like?,Dengue ka rash kaisa hota hai?,"It may appear as red patches or small spots, sometimes itchy.","Ye laal dhabbay ya chotay nishanon ki shakal me hota hai, kabhi kabhi kharish bhi hoti hai.",symptoms;skin,Clinical sources,general,symptoms,symptoms
12,Does dengue cause mild fever?,Kya dengue me halka bukhar hota hai?,"Usually dengue starts with high fever, but some cases may begin mildly.","Aksar dengue tez bukhar se shuru hota hai, magar kuch mein halka bukhar bhi hosakta hai.",fever,WHO,general,fever,other
13,How long does dengue fever last?,Dengue ka bukhar kitne din rehta hai?,The fever phase typically lasts 2–7 days.,Bukhar aam tor par 2–7 din rehta hai.,fever;timeline,WHO,general,fever,other
14,Can dengue fever return after going down?,Kya bukhar kam hone ke baad wapas aa sakta hai?,"It usually does not return once resolved, but the critical phase begins as fever drops.","Bukhar kam hone ke baad aam tor par wapas nahi aata, magar critical phase us waqt shuru hota hai.",fever;critical_phase,WHO,urgent-care,fever,other
15,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after fever decreases when plasma leakage and warning signs may appear.,Bukhar girne ke 24–48 ghante critical phase hote hain jisme leakage aur khatwarning alamat samne aa sakti hain.,critical_phase,WHO,urgent-care,critical_phase,other
16,Why does the fever fall suddenly in dengue?,Dengue me bukhar achanak kyu girta hai?,This is part of the illness cycle; the drop signals the start of the critical phase.,Ye dengue ke cycle ka hissa hai; bukhar girna critical phase ka aaghaz hota hai.,fever;critical_phase,Clinical,urgent-care,fever,other
17,Do children show the same symptoms as adults?,Bachon me bhi yahi alamat hoti hain?,"Yes, but children may worsen faster and require closer monitoring.","Haan, lekin bachon ki halat tez bigar sakti hai is liye zyada nigrani chahiye.",pediatrics;symptoms,WHO,urgent-care,pediatrics,pediatrics
18,Can dengue cause extreme fatigue?,Kya dengue se had se zyada thakan hoti hai?,"Yes, severe fatigue is common during and after dengue.","Haan, shadeed thakan bimari ke duran aur baad me aam hoti hai.",symptoms;fatigue,WHO,general,symptoms,symptoms
19,Does dengue cause dizziness?,Kya dengue me chakkar aate hain?,Mild dizziness can occur due to dehydration or fever. Severe dizziness must be evaluated.,Halka chakkar pani ki kami ya bukhar se ho sakta hai. Shadeed chakkar ka muaina zaroori hai.,symptoms;hydration,Clinical,urgent-care,symptoms,symptoms
20,Can dehydration happen in dengue?,Kya dengue me pani ki kami ho sakti hai?,"Yes, due to fever, vomiting, and reduced intake. Hydration is essential.","Haan, bukhar, ulti aur kam pani pene ki wajah se pani ki kami hosakti hai. Hydration zaroori hai.",hydration;symptoms,WHO,general,hydration,hydration
21,Why is hydration important in dengue?,Dengue me pani pina itna zaroori kyu hai?,"Fluids help prevent shock, maintain circulation, and reduce complications.","Maye shock se bachate hain, khoon ki rawani behtar karte hain aur complications kam karte hain.",hydration,WHO,general,hydration,hydration
22,Is loss of appetite normal?,Kya dengue me bhook kam lagna aam hai?,"Yes, appetite often decreases. Small, frequent meals are recommended.","Haan, bhook aksar kam hoti hai. Choti choti matra me khana behtar hai.",symptoms;nutrition,WHO,general,symptoms,symptoms
23,Does dengue cause body aches?,Kya dengue me jism dard hota hai?,"Yes, intense body aches are one of the hallmark features.","Haan, shadeed jism dard dengue ki khas alamat me se hai.",symptoms;body_pain,WHO,general,symptoms,symptoms
