id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,question_en_clean,question_ru_clean,combined_question
1,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include sudden high fever, severe headache, pain behind the eyes, muscle and joint pain, nausea, vomiting, and fatigue.","Ibtidaai alamat me achanak tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon me dard, ulti, ghulati aur thakan shamil hain.",symptoms,WHO/CDC,general,what are early symptoms of dengue,dengue ke ibtidaai alamat kya hain,what are early symptoms of dengue dengue ke ibtidaai alamat kya hain
2,Does dengue always start with fever?,Kya dengue hamesha bukhar se shuru hota hai?,"Yes, dengue typically starts with sudden high fever along with body pain and headache.","Haan, dengue aam tor par achanak tez bukhar ke sath shuru hota hai jisme jism dard aur sar dard shamil hota hai.",symptoms;fever,WHO,general,does dengue always start with fever,kya dengue hamesha bukhar se shuru hota hai,does dengue always start with fever kya dengue hamesha bukhar se shuru hota hai
3,Is headache common in dengue?,Kya dengue me sar dard aam hai?,"Yes, intense headache—especially behind the eyes—is a common symptom.","Haan, shadeed sar dard khas tor par aankh ke peeche aam alamat hai.",symptoms,WHO,general,is headache common in dengue,kya dengue me sar dard aam hai,is headache common in dengue kya dengue me sar dard aam hai
4,Why does dengue cause pain behind the eyes?,Dengue me aankh ke peeche dard kyu hota hai?,"The virus triggers inflammation that irritates the tissues behind the eyes, causing characteristic pain.",Virus soozish paida karta hai jo aankh ke peeche ke hisson ko mutasir kar ke dard paida karti hai.,symptoms;eye_pain,Clinical guidance,general,why does dengue cause pain behind the eyes,dengue me aankh ke peeche dard kyu hota hai,why does dengue cause pain behind the eyes dengue me aankh ke peeche dard kyu hota hai
5,Can dengue cause back pain?,Kya dengue se kamar dard hota hai?,"Yes, muscle and joint pain—including back pain—are common because of inflammation.","Haan, pathon aur joron me dard, jis me kamar dard bhi shamil hai, soozish ki wajah se hota hai.",symptoms;body_pain,WHO,general,can dengue cause back pain,kya dengue se kamar dard hota hai,can dengue cause back pain kya dengue se kamar dard hota hai
6,Why do joints hurt in dengue?,Dengue me jor kyu dard karte hain?,"Dengue triggers inflammation in muscles and joints, causing severe aches.",Dengue pathon aur joron me soozish paida karta hai jis se shadeed dard hota hai.,symptoms;joint_pain,WHO,general,why do joints hurt in dengue,dengue me jor kyu dard karte hain,why do joints hurt in dengue dengue me jor kyu dard karte hain
7,Can dengue cause stomach pain?,Kya dengue me pait dard hota hai?,"Mild abdominal discomfort may occur early, but severe abdominal pain is a warning sign requiring urgent care.",Shuru me halka pait dard ho sakta hai lekin shadeed pait ka dard khatwarning alamat hai aur foran tawajjo chahiye.,symptoms;warning_signs,WHO,urgent-care,can dengue cause stomach pain,kya dengue me pait dard hota hai,can dengue cause stomach pain kya dengue me pait dard hota hai
8,Is nausea normal in dengue?,Kya dengue me ulti ya ghulati aam hai?,"Yes, nausea and vomiting are common because dengue affects the digestive system.","Haan, ulti aur ghulati aam hain kyun ke dengue hazme ke nizaam ko mutasir karta hai.",symptoms;gastro,WHO,general,is nausea normal in dengue,kya dengue me ulti ya ghulati aam hai,is nausea normal in dengue kya dengue me ulti ya ghulati aam hai
9,Does dengue always cause vomiting?,Kya dengue me hamesha ulti hoti hai?,"Not always, but many patients experience nausea or occasional vomiting.","Hamesha nahi, lekin bohat se mareez ghulati ya kabhi kabhi ulti mehsoos karte hain.",symptoms;gastro,WHO,general,does dengue always cause vomiting,kya dengue me hamesha ulti hoti hai,does dengue always cause vomiting kya dengue me hamesha ulti hoti hai
10,Is rash common in dengue?,Kya dengue me rash aam hota hai?,"Yes, a skin rash often appears between days 2–5 of illness.","Haan, din 2–5 ke darmiyan jild par rash aksar zahir hota hai.",symptoms;skin,WHO,general,is rash common in dengue,kya dengue me rash aam hota hai,is rash common in dengue kya dengue me rash aam hota hai
11,What does dengue rash look like?,Dengue ka rash kaisa hota hai?,"It may appear as red patches or small spots, sometimes itchy.","Ye laal dhabbay ya chotay nishanon ki shakal me hota hai, kabhi kabhi kharish bhi hoti hai.",symptoms;skin,Clinical sources,general,what does dengue rash look like,dengue ka rash kaisa hota hai,what does dengue rash look like dengue ka rash kaisa hota hai
12,Does dengue cause mild fever?,Kya dengue me halka bukhar hota hai?,"Usually dengue starts with high fever, but some cases may begin mildly.","Aksar dengue tez bukhar se shuru hota hai, magar kuch mein halka bukhar bhi hosakta hai.",fever,WHO,general,does dengue cause mild fever,kya dengue me halka bukhar hota hai,does dengue cause mild fever kya dengue me halka bukhar hota hai
